"Q61_When schools re-open, do you think your school will have measures in place to ensure a safe learning environment?",Q62_Why or why not?,Q63_What are your concerns about returning to school?
Somewhat,"I don't, know",I agree for opening of school 
Somewhat,I have no knowledge ,Is good to open school 
Somewhat,I don't know,The school should be open
Somewhat,"I don't, know ",Is good to open school 
,,
No,Because there are no safe facilities for learning in the school,My concern is to pursue with my studies
Yes,To keep school environment clean ,Is good 
No,Because the school is currently occupied by people displaced by flood,Because there is nothing we are doing at home
Yes,Because there are some preventive measures in the school,My concern is to pursue with my studies
Yes,To keep school clean ,Is good to open school
No,"Because the school is occupied by IDPs and the facilities are miss used by the community, this mean the need to be renovated first",My concern is that schools should be reopen next year
Yes,To keep school clean ,Is good to open 
No,"School is occupied by IDPs, toilets are not in good condition, no hand washing facilities etc",My concern is that schools are not supposed to be reopen this year
Yes,Because the facilities we have can cater for safe learning environment,My concern is to continue with my studies
Somewhat,"I don't ,known ",I don't want to be open 
No,Because the school is being occupied by IDPs,My concern is that school should be open next year in order to avoid inrregularities with the school calendar
Somewhat,I don't know,Is good to open school 
No,Because I don't like radio lessons,To avoid redundancy at home
Yes,Because there are some preventive measures for safe learning environment,Returning to school is mostly welcome because overstaying at home has actually created a lot of mess to many students
Somewhat,I don't know ,I strongly agree 
No,There are no facilities for safe learning environment,My concern is to complete my school early this year
No,The facilities we have are not enough for safe learning environment,"My concern is that I have vested my time to school time, that means staying at home is wasting of our time for studying."
No,The facilities in the school are not enough for safe learning environment,Staying at home is indeed too boring for us
Yes,To keep our school clean ,Is good for me to come back to school 
Yes,To keep school clean ,Is good to open school
,,
Somewhat,I don't know ,Is good to open school 
Somewhat,I don't know ,I strongly agree 
Yes,To our school environment clean ,Is good to open school again 
Yes,We are aware of Corona virus ,I agree to open school 
Somewhat,I don't know,Let the school to be open
Somewhat,Something like water point is not regularly in place,I need no time waste because I went to complete on time 
Yes,Our number is Small thus social distancing is possible,To complete on time
Yes,No flooding no occupied,No concerns until next year because limited time Left
Somewhat,They can try,Complete schooling to be able to solve our problems alone
No,It flooded,To continue learning
Somewhat,To some extend school may do but i have reservations,It important because it will avoid idleness among learners
Somewhat,No budget for that,To improve studies
No,Learners will interact to themselves without considering the social distancing.,My concern is to provide school with     hygiene materials to protect them from coronavirus.
Yes,By providing hygiene materials to learners ,We must to aware learners about coronavirus measure in the school
Yes,In order to make sure all safety measures are respect  and obedient by teachers and learners,Number of learners should be reduced to thirty per class instead of fifty 
No,We should be in the classes,We are very excited because to resume our normal interaction with our classmates
Somewhat,I don't know,Let the school to be open
Yes,When resources are available,Corona virus
Yes,The community can manage With the PTA to put up the measures,"It is good that schools should reopened, the need the teachers to put more efforts to complete the syllabus"
Somewhat,Unless there would be an NGO assisting,Children need to go back to school
Yes,We can do anything to make our children to get back to schools,Schools should reopen
Yes,We are ready to do anything to make our children to get back to schools,Schools should reopen
Somewhat,The school administration should be able to request from the NGOS,None
No,O,I want to continued with my study if the schools reopen again
Somewhat,O,I'm interested to go back to schools
No,O,O
No,Because I'm not in the schools,I want to go to schools if they reopen them
No,There are no good hand washing facilities in the schools,Schools need to be reopened because our children are really missing out
Somewhat,That will depend on the capability of the school administration,We just want schools to reopen
Somewhat,We as the PTA and school administration will have to address the concerns if schools will really reopen in this time of the pandemic because we will love to see our children go back to schools,Let the government allow schools to reopen
Somewhat,The school administration will have to address the concerns,We want schools to reopen. A lot of girls outside there including my daughter have been impregnated because of the closure of schools
Somewhat,I don't know,Schools should open
Somewhat,It is the work of the school administration to put in place the measures,"I have no concerns because if is because of public gathering, the public transports are active including video halls"
Somewhat,I don't know,Schools need to reopen because we are idle at home
No,O,Just to continued
No,Our school does not get support from the government,None
Somewhat,I don't know,We need to return to schools
No,NGO will have to come in in case schools are to reopen,None
No,There are no hand washing facilities,We miss going back to schools
Somewhat,The school administration will have to work hard,We want to go back to schools
Somewhat,"There are a lot if things that nerd to be addressed eg tanks,",Can't wait to go back to school
